Unnamed: 0,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length,Topsis Score,Rank
microsoft/DialoGPT-medium,0.0,0.2663232323232323,0.0807453416149068,0.2185117845117845,8.0,0.23150753185441456,5.0
Pi3141/DialoGPT-medium-elon-2,0.0,0.2467536336553218,0.0672811059907834,0.1790649544100388,16.2,0.8095094689415,1.0
0xDEADBEA7/DialoGPT-small-rick,0.0,0.2718787878787879,0.0807453416149068,0.2236969696969697,10.0,0.3235520399919275,3.0
satvikag/chatbot,0.0,0.2440067613252197,0.0807453416149068,0.2066842461122379,10.0,0.35940646371809515,2.0
microsoft/DialoGPT-large,0.0,0.2585017921146954,0.0638655462184873,0.2166953405017921,10.6,0.2926258017660269,4.0
