,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length
microsoft/DialoGPT-medium,0.0,0.26632323232323235,0.08074534161490683,0.21851178451178455,8.0
Pi3141/DialoGPT-medium-elon-2,0.0,0.24675363365532182,0.06728110599078341,0.1790649544100388,16.2
0xDEADBEA7/DialoGPT-small-rick,0.0,0.2718787878787879,0.08074534161490683,0.22369696969696973,10.0
satvikag/chatbot,0.0,0.24400676132521976,0.08074534161490683,0.20668424611223796,10.0
microsoft/DialoGPT-large,0.0,0.2585017921146954,0.06386554621848739,0.21669534050179212,10.6
